[2026-09-01 09:56:25,310] [WARNING] [MainProcess] [2676554] [warnings.py:110]  /data/miniconda3/envs/jisihuai/lib/python3.11/site-packages/click/decorators.py:34: SmallSampleWarning: One or more sample arguments is too small; all returned values will be NaN. See documentation for sample size requirements.
  return f(get_current_context(), *args, **kwargs)

[2026-09-01 09:56:25,312] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.628343
[2026-09-01 09:56:25,313] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2323.689, 2312.4764999999998, 2320.858, 2311.959, 2309.0955000000004, 2313.2735000000002, 2310.815, 2311.5825, 2310.9865, 2316.5595000000003, 2368.996, 2337.1369999999997, 2332.2655, 2338.2974999999997, 2339.7709999999997, 2331.844, 2305.3740000000003, 2307.7135, 2316.409, 2311.014, 2290.7035, 2268.7845, 2259.2755, 2283.1634999999997, 2303.5525000000002, 2307.641, 2318.91, 2295.591, 2303.3415, 2317.0465, 2298.9735, 2313.072, 2297.958, 2303.732, 2331.3759999999997, 2291.327, 2306.1009999999997, 2307.9990000000003, 2305.309, 2301.2315, 2301.1884999999997, 2338.457, 2331.681, 2336.7985, 2338.806, 2336.748, 2339.435, 2333.85, 2338.2, 2331.105]
[2026-09-01 09:56:25,314] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.634635
[2026-09-01 09:56:25,315] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2323.689, 2312.4764999999998, 2320.858, 2311.959, 2309.0955000000004, 2313.2735000000002, 2310.815, 2311.5825, 2310.9865, 2316.5595000000003, 2368.996, 2337.1369999999997, 2332.2655, 2338.2974999999997, 2339.7709999999997, 2331.844, 2305.3740000000003, 2307.7135, 2316.409, 2311.014, 2290.7035, 2268.7845, 2259.2755, 2283.1634999999997, 2303.5525000000002, 2307.641, 2318.91, 2295.591, 2303.3415, 2317.0465, 2298.9735, 2313.072, 2297.958, 2303.732, 2331.3759999999997, 2291.327, 2306.1009999999997, 2307.9990000000003, 2305.309, 2301.2315, 2301.1884999999997, 2338.457, 2331.681, 2336.7985, 2338.806, 2336.748, 2339.435, 2333.85, 2338.2, 2331.105]
[2026-09-01 09:56:25,316] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.805276
[2026-09-01 09:56:25,316] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2323.689, 2312.4764999999998, 2320.858, 2311.959, 2309.0955000000004, 2313.2735000000002, 2310.815, 2311.5825, 2310.9865, 2316.5595000000003, 2368.996, 2337.1369999999997, 2332.2655, 2338.2974999999997, 2339.7709999999997, 2331.844, 2305.3740000000003, 2307.7135, 2316.409, 2311.014, 2290.7035, 2268.7845, 2259.2755, 2283.1634999999997, 2303.5525000000002, 2307.641, 2318.91, 2295.591, 2303.3415, 2317.0465, 2298.9735, 2313.072, 2297.958, 2303.732, 2331.3759999999997, 2291.327, 2306.1009999999997, 2307.9990000000003, 2305.309, 2301.2315, 2301.1884999999997, 2338.457, 2331.681, 2336.7985, 2338.806, 2336.748, 2339.435, 2333.85, 2338.2, 2331.105]
[2026-09-01 09:56:25,317] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.805276
[2026-09-01 09:56:25,318] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2323.689, 2312.4764999999998, 2320.858, 2311.959, 2309.0955000000004, 2313.2735000000002, 2310.815, 2311.5825, 2310.9865, 2316.5595000000003, 2368.996, 2337.1369999999997, 2332.2655, 2338.2974999999997, 2339.7709999999997, 2331.844, 2305.3740000000003, 2307.7135, 2316.409, 2311.014, 2290.7035, 2268.7845, 2259.2755, 2283.1634999999997, 2303.5525000000002, 2307.641, 2318.91, 2295.591, 2303.3415, 2317.0465, 2298.9735, 2313.072, 2297.958, 2303.732, 2331.3759999999997, 2291.327, 2306.1009999999997, 2307.9990000000003, 2305.309, 2301.2315, 2301.1884999999997, 2338.457, 2331.681, 2336.7985, 2338.806, 2336.748, 2339.435, 2333.85, 2338.2, 2331.105]
[2026-09-01 09:56:27,043] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 4.106465
[2026-09-01 09:56:27,044] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [1332.592, 2451.708, 1030.6285, 962.503, 964.8799999999999, 972.976, 975.4594999999999, 985.561, 996.4254999999999, 980.4855, 987.4399999999999, 967.833, 977.893, 978.7450000000001, 974.61, 1227.9055, 1019.47, 999.9285, 1031.4735, 1015.4219999999999, 1008.7115, 1028.3225, 1015.7059999999999, 1008.7115, 1000.9379999999999, 1015.6115, 1014.3834999999999, 1138.273, 1014.5135, 1020.1295, 1017.6, 1015.6524999999999, 1017.3149999999999, 1026.048, 1151.357, 1020.4514999999999, 1016.7725, 1051.6225, 1004.2059999999999, 1007.7655000000001, 1008.9110000000001, 1010.274, 1018.5355, 1014.1110000000001, 1000.575, 1003.8290000000001, 1026.04, 1005.1725, 1004.3879999999999, 1008.8145000000001]
[2026-09-01 09:56:27,045] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 6.694665
[2026-09-01 09:56:27,045] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [1332.592, 2451.708, 1030.6285, 962.503, 964.8799999999999, 972.976, 975.4594999999999, 985.561, 996.4254999999999, 980.4855, 987.4399999999999, 967.833, 977.893, 978.7450000000001, 974.61, 1227.9055, 1019.47, 999.9285, 1031.4735, 1015.4219999999999, 1008.7115, 1028.3225, 1015.7059999999999, 1008.7115, 1000.9379999999999, 1015.6115, 1014.3834999999999, 1138.273, 1014.5135, 1020.1295, 1017.6, 1015.6524999999999, 1017.3149999999999, 1026.048, 1151.357, 1020.4514999999999, 1016.7725, 1051.6225, 1004.2059999999999, 1007.7655000000001, 1008.9110000000001, 1010.274, 1018.5355, 1014.1110000000001, 1000.575, 1003.8290000000001, 1026.04, 1005.1725, 1004.3879999999999, 1008.8145000000001]
[2026-09-01 09:56:27,047] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 29.985326
[2026-09-01 09:56:27,047] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [1332.592, 2451.708, 1030.6285, 962.503, 964.8799999999999, 972.976, 975.4594999999999, 985.561, 996.4254999999999, 980.4855, 987.4399999999999, 967.833, 977.893, 978.7450000000001, 974.61, 1227.9055, 1019.47, 999.9285, 1031.4735, 1015.4219999999999, 1008.7115, 1028.3225, 1015.7059999999999, 1008.7115, 1000.9379999999999, 1015.6115, 1014.3834999999999, 1138.273, 1014.5135, 1020.1295, 1017.6, 1015.6524999999999, 1017.3149999999999, 1026.048, 1151.357, 1020.4514999999999, 1016.7725, 1051.6225, 1004.2059999999999, 1007.7655000000001, 1008.9110000000001, 1010.274, 1018.5355, 1014.1110000000001, 1000.575, 1003.8290000000001, 1026.04, 1005.1725, 1004.3879999999999, 1008.8145000000001]
[2026-09-01 09:56:27,048] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 29.985326
[2026-09-01 09:56:27,048] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [1332.592, 2451.708, 1030.6285, 962.503, 964.8799999999999, 972.976, 975.4594999999999, 985.561, 996.4254999999999, 980.4855, 987.4399999999999, 967.833, 977.893, 978.7450000000001, 974.61, 1227.9055, 1019.47, 999.9285, 1031.4735, 1015.4219999999999, 1008.7115, 1028.3225, 1015.7059999999999, 1008.7115, 1000.9379999999999, 1015.6115, 1014.3834999999999, 1138.273, 1014.5135, 1020.1295, 1017.6, 1015.6524999999999, 1017.3149999999999, 1026.048, 1151.357, 1020.4514999999999, 1016.7725, 1051.6225, 1004.2059999999999, 1007.7655000000001, 1008.9110000000001, 1010.274, 1018.5355, 1014.1110000000001, 1000.575, 1003.8290000000001, 1026.04, 1005.1725, 1004.3879999999999, 1008.8145000000001]
[2026-09-01 09:56:32,007] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 6.656642
[2026-09-01 09:56:32,008] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2322.2625, 2322.5744999999997, 2328.529, 2311.9610000000002, 2319.557, 2320.676, 2336.8419999999996, 2354.2215, 2328.9615000000003, 2327.0285, 2312.814, 2324.248, 2328.577, 2332.392, 2334.4095, 2328.5885, 2325.0495, 2335.796, 2310.2715, 2314.657, 2313.089, 2305.8215, 2310.1005, 2321.6575000000003, 2318.819, 2309.5665, 2314.3895, 2311.8415, 2314.2295, 2310.209, 2295.7655, 2309.62, 2312.6895, 2303.2169999999996, 2316.7765, 2308.7025000000003, 2328.8869999999997, 2318.5, 2599.0, 2327.612, 2321.5865000000003, 2329.1415, 2329.7155, 2321.4515, 2327.693, 2319.5299999999997, 2317.9669999999996, 2493.3175, 2311.6615, 2325.3185000000003]
[2026-09-01 09:56:32,009] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 6.656642
[2026-09-01 09:56:32,009] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2322.2625, 2322.5744999999997, 2328.529, 2311.9610000000002, 2319.557, 2320.676, 2336.8419999999996, 2354.2215, 2328.9615000000003, 2327.0285, 2312.814, 2324.248, 2328.577, 2332.392, 2334.4095, 2328.5885, 2325.0495, 2335.796, 2310.2715, 2314.657, 2313.089, 2305.8215, 2310.1005, 2321.6575000000003, 2318.819, 2309.5665, 2314.3895, 2311.8415, 2314.2295, 2310.209, 2295.7655, 2309.62, 2312.6895, 2303.2169999999996, 2316.7765, 2308.7025000000003, 2328.8869999999997, 2318.5, 2599.0, 2327.612, 2321.5865000000003, 2329.1415, 2329.7155, 2321.4515, 2327.693, 2319.5299999999997, 2317.9669999999996, 2493.3175, 2311.6615, 2325.3185000000003]
[2026-09-01 09:56:37,009] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 3.670937
