kind,shape_sig,dtype,v3_id,v4_id,v3_e2e_us,v4_e2e_us,diff_v3_minus_v4_us,ratio_v3_over_v4,v3_device_us,v4_device_us
func,"q:1,257,1,128/bf16 | k:1,17,1,128/bf16 | v:1,17,1,128/bf16",bf16,127,100,518.03,383.0,135.03,1.353,,
func,"q:8,31,4,32/fp16 | k:8,15,1,32/fp16 | v:8,15,1,32/fp16",fp16,134,102,532.39,382.64,149.75,1.391,,
func,"q:8,7,4,16/bf16 | k:8,257,1,16/bf16 | v:8,257,1,16/bf16",bf16,137,104,1720.68,1695.19,25.5,1.015,,
func,"q:1,15,8,256/bf16 | k:1,15,2,256/bf16 | v:1,15,2,256/bf16",bf16,138,108,1702.04,1690.54,11.5,1.007,,
func,"q:1,7,16,64/fp16 | k:1,65,8,64/fp16 | v:1,65,8,64/fp16",fp16,139,109,1721.37,1688.22,33.15,1.02,,
func,"q:4,15,16,16/fp16 | k:4,33,16,16/fp16 | v:4,33,16,16/fp16",fp16,141,120,566.77,381.27,185.5,1.487,,
func,"q:2,129,1,128/bf16 | k:2,64,1,128/bf16 | v:2,64,1,128/bf16",bf16,143,121,513.9,395.53,118.37,1.299,,
func,"q:2,7,16,128/fp16 | k:2,129,1,128/fp16 | v:2,129,1,128/fp16",fp16,144,124,572.18,382.13,190.04,1.497,,
func,"q:8,17,1,256/bf16 | k:8,17,1,256/bf16 | v:8,17,1,256/bf16",bf16,146,133,1734.26,1685.72,48.53,1.029,,
func,"q:8,2,16,32/fp16 | k:8,16,16,32/fp16 | v:8,16,16,32/fp16",fp16,147,138,1768.26,1704.25,64.01,1.038,,
func,"q:2,8,16,256/fp16 | k:2,8,2,256/fp16 | v:2,8,2,256/fp16",fp16,148,139,537.67,382.68,154.99,1.405,,
func,"q:2,16,4,64/bf16 | k:2,129,4,64/bf16 | v:2,129,4,64/bf16",bf16,149,141,1742.42,1692.24,50.18,1.03,,
func,"q:8,2,16,32/fp16 | k:8,65,4,32/fp16 | v:8,65,4,32/fp16",fp16,157,142,492.51,438.36,54.14,1.124,,
func,"q:8,64,4,32/fp16 | k:8,129,1,32/fp16 | v:8,129,1,32/fp16",fp16,162,150,1823.52,1743.59,79.93,1.046,,
func,"q:2,15,8,256/fp16 | k:2,15,8,256/fp16 | v:2,15,8,256/fp16",fp16,166,153,1722.02,1689.0,33.02,1.02,,
func,"q:2,8,1,256/bf16 | k:2,256,1,256/bf16 | v:2,256,1,256/bf16",bf16,170,158,1738.8,1676.16,62.64,1.037,,
func,"q:2,64,16,64/fp16 | k:2,128,1,64/fp16 | v:2,128,1,64/fp16",fp16,172,160,528.25,382.29,145.96,1.382,,
func,"q:8,96,8,32/bf16 | k:8,128,1,32/bf16 | v:8,128,1,32/bf16",bf16,174,169,1758.3,1768.97,-10.67,0.994,,
func,"q:8,2,2,256/fp16 | k:8,65,2,256/fp16 | v:8,65,2,256/fp16",fp16,175,172,496.46,394.08,102.38,1.26,,
func,"q:1,257,16,128/bf16 | k:1,256,2,128/bf16 | v:1,256,2,128/bf16",bf16,181,185,543.35,382.87,160.48,1.419,,
